abandon 51.2
bubble 43.2.a#43.2.b#43.2.c#43.4.a#43.4.b#43.4.c#43.4.d
buck 49.a.i#49.a.ii#49.b
buckle 22.4.a#22.4.b
bud 45.5
budge 31.1.a
buff 10.4.1.a#10.4.1.b.i#10.4.1.b.ii
buffet 17.2.i
bug 31.1.a#31.1.b
build 26.1.a#26.1.a#26.1.b
bulge 47.2.a.i#47.2.c
bully 29.8.a#29.8.b
bump 18.1.a#18.1.b#18.1.c#18.1.d#18.1.e#18.4.a#18.4.b#40.8.3
bundle 22.3.a.ii#22.3.d.ii
bungle 45.4.a
bunt 17.1#17.1
buoy 16
burble 37.3.a#37.3.a#37.3.b#37.3.c#43.2.a#43.2.b
burden 13.4.2
burgeon 45.5
burglarize 45.4.a
burgle 10.6.a#10.6.c
burl 10.7
burn 40.8.2#40.8.3#43.1.a#43.1.b#43.1.c#45.4.a#45.4.b#45.4.c#45.5#47.2.b#47.2.c
burp 40.1.1
burr 43.2.a#43.2.b
burrow 35.5#35.5
burst 45.4.a#45.4.b#45.4.c#48.1.1.a
bury 9.1
bury_alive 9.1
bus 11.5#11.5#51.4.1.a#51.4.1.b
bustle 47.5.1.a#47.5.1.b#47.5.1.c
busy 31.1.a
butcher 29.8.a#29.8.b#42.1.c
butler 29.8.a#29.8.b
butt 18.1.a#18.1.b#18.1.c#18.1.d#18.1.e
butter 9.9.ii
button 22.4.a#22.4.b
buttonhole 9.9.ii
buy 13.5.1.b.ii#13.5.1.b.ii#13.5.1.b.ii
buzz 38#43.2.a#43.2.b#43.2.c#43.2.d
cab 51.4.1.a#51.4.1.b
cable 37.4.a#37.4.a#37.4.a#37.4.a#37.4.b
cackle 37.3.a#37.3.a#37.3.b#37.3.c#38#40.2.b
caddy 29.8.a#29.8.b
cadge 10.5#13.5.2.a
cage 9.10
cajole 002
calcify 45.4.a#45.4.b#45.4.c
calculate 54.4
calibrate 54.4
calk 9.9.ii
call 13.5.1.a#13.5.1.a#29.3#37.3.a#37.3.a#37.3.b#37.3.c#38
call_on 002
calm 31.1.a#31.1.b#31.1.c#45.4.c
calumniate 33.b
calve 28
camouflage 29.6.b
camp 46.b
can 9.10
cancan 51.5.a.i#51.5.a.ii#51.5.b
cancel 10.1
cane 18.3
canoe 51.4.1.a#51.4.1.b
canonize 29.7
canter 51.3.2.a.i#51.3.2.a.ii
canton 46.a
canvass 35.4
cap 9.9.ii#47.8.j
capacitate 45.4.a
caper 51.3.2.a.i#51.3.2.a.ii
capitulate 13.2
capsize 45.4.a#45.4.b#45.4.c
captain 29.8.a#29.8.b
captivate 31.1.a#31.1.b#31.1.c
capture 10.5
caramelize 45.4.a#45.4.b#45.4.c
caravan 51.4.1.a#51.4.1.b
carbonify 45.4.a#45.4.b#45.4.c
carbonize 45.4.a#45.4.b#45.4.c
card 30.2.a.ii
care 31.3.a.i#31.3.c
caress 20.a
carol 37.3.a#37.3.a#37.3.b#37.3.c
carom 51.3.2.a.i#51.3.2.a.ii
carpet 9.8.a#9.8.b#9.9.ii
carry 11.4.i#11.4.ii#11.4.ii#54.2#54.3.a#54.3.b
carry_on 55.1.a
carry_out 26.4
cart 11.5#11.5
carve 21.2.a#21.2.b#21.2.c#25.2#26.1.a#26.1.a#26.1.b
cascade 47.2.a.i#47.7.a#47.7.b
case 9.10#17.1#17.1
cash 13.5.1.a#13.5.1.a
cast 26.1.a#26.1.a#26.1.b#29.2.c#29.2.d
castigate 33.b
castrate 45.4.a
catalogue 29.2.d
catapult 17.1#17.1
catch 13.5.1.a#13.5.1.a
categorize 45.4.a
cater 13.4.1.a
catholicize 45.4.a
catnap 40.4
caulk 9.9.ii
cause 002#27
cauterize 45.4.a
caution 37.9.a#37.9.b#37.9.c
cavort 51.3.2.a.i#51.3.2.a.ii
caw 38
cease 55.1.a#55.1.b#55.1.c
cede 13.3#13.3
celebrate 33.a.i
cellar 9.10
cement 22.4.a#22.4.b
censor 34.ii
censure 33.b
centralize 45.4.a#45.4.b#45.4.c
certify 29.2.c#29.2.d
chagrin 31.1.a#31.1.b
chain 22.4.a#22.4.b
chalk 25.2
challenge 36.3.a
champion 29.8.a#29.8.b
change 13.6.a#26.6#41.1.1.ii#41.1.1.iii#45.4.a#45.4.b#45.4.c
channel 9.3.a
chant 26.7.i#26.7.ii#26.7.ii#37.3.a#37.3.a#37.3.b#37.3.c
chaperone 29.8.a#29.8.b
char 45.4.a#45.4.b#45.4.c
characterize 29.2.c#29.2.d
charbroil 45.3.a#45.3.b#45.3.c
charcoal 25.2
charcoal-broil 45.3.a#45.3.b#45.3.c
charge 13.4.2#51.3.2.a.i#51.3.2.a.ii#54.5.a
chariot 51.4.1.a#51.4.1.b
charm 31.1.a#31.1.b
charter 13.5.1.a#13.5.1.a
chase 51.6.a#51.6.b
chasten 33.b
chastise 33.b
chat 37.6.b
chatter 37.3.a#37.3.a#37.3.b#37.3.c#37.6.b#38#43.2.a#43.2.b#43.2.c
chauffeur 29.8.a#29.8.b
cheapen 45.4.a#45.4.b#45.4.c
cheat 10.6.a#10.6.c
check 30.3.d#35.2.a#35.2.a#35.2.b
cheep 38
cheer 31.1.a#31.1.b#31.1.c#31.3.b
cherish 31.2.a#31.2.b#31.2.g
chew 39.2.a#39.2.c
chide 33.b
chill 31.1.a#31.1.b#31.1.c#45.4.a#45.4.b#45.4.c
chime 43.2.a#43.2.b#43.2.c
chink 43.2.a#43.2.b
chip 21.1.a#21.1.b#21.1.c#21.1.d#21.1.e#21.2.a#21.2.b#21.2.c#40.8.3#45.1.a#45.1.b#45.1.c
chir 43.2.a#43.2.b
chirp 37.3.a#37.3.a#37.3.b#37.3.c#38
chirrup 38
chisel 26.1.a#26.1.a#26.1.b
chitchat 37.6.b
chitter 38#43.2.a#43.2.b
chlorinate 45.4.a
choke 9.8.a#9.8.b#9.8.e#40.7.i#40.7.ii
chomp 39.2.a#39.2.c
choose 13.5.1.a#13.5.1.a#29.2.c#29.2.d
chop 21.2.a#21.2.b#21.2.c
choreograph 26.7.i#26.7.ii#26.7.ii
chortle 40.2.b
christen 29.3
christianize 45.4.a
chrome 9.9.ii
chronicle 25.4
chuck 17.1#17.1
chuckle 40.2.b
chug 43.2.a#43.2.b#43.2.c
churn 26.1.a#26.1.a#26.1.b
cicatrize 45.4.a
circle 47.8.c
circulate 45.4.a
circumcise 45.4.a
circumvent 52.a
cite 29.2.c#29.2.d#37.1.b
civilize 45.4.a
clack 43.2.a#43.2.b
claim 017
clack 43.2.c
clad 41.3.3
claim 37.7.a#37.7.b
clam 13.7
clamber 51.3.2.a.i
clamor 32.2.a
clamber 51.3.2.a.ii
clamp 22.4.a#22.4.b
clang 43.2.a#43.2.b#43.2.c#43.2.d
clank 43.2.a#43.2.b#43.2.c#43.2.d
clap 40.3.1.i#40.3.1.ii#43.2.a#43.2.b#43.2.c
clarify 37.1.b
clash 36.1.c#36.1.d#43.2.a#43.2.b
clasp 15.1.a#15.1.b#22.4.a#22.4.b
class 29.2.c#29.2.d
classify 29.2.a#29.2.c#29.2.d
clatter 43.2.a#43.2.b#43.2.c
claw 18.2.a#18.2.b
clay 9.9.ii
clean 10.3.a#10.3.b#26.3#26.3#45.4.a#45.4.b#45.4.c
cleanse 10.6.a
clear 10.3.a#10.3.b#26.3#26.3#45.4.a#45.4.b#45.4.c
cleave 22.5.a#22.5.b
clench 40.3.2
clerk 29.8.a#29.8.b
click 40.3.2#43.2.a#43.2.b#43.2.c#43.2.d
climb 45.6#47.7.a#47.7.b#51.1.a#51.1.c#51.1.e#51.3.2.a.i#51.3.2.a.ii
clinch 31.1.a
cling 22.5.a#22.5.b#43.2.a#43.2.b
clink 43.2.a#43.2.b#43.2.c#43.2.d
clip 21.1.b#21.1.c#21.1.d#21.1.e#22.4.a#22.4.b#41.2.2
cloak 9.8.a#9.8.b#9.8.d#9.9.ii
clobber 18.3
clog 9.8.a#9.8.b#9.8.e#45.4.a#45.4.b#45.4.c#51.5.a.i#51.5.a.ii#51.5.b
cloister 9.10#16
clomp 43.2.a#43.2.b
close 40.3.2#45.4.a#45.4.b#45.4.c
clothe 41.1.1.ii
clouded 45.4.a
clown 36.1.c#36.1.d
club 18.3
cluck 37.3.a#37.3.a#37.3.b#37.3.c#38
clump 43.2.a#43.2.b#51.3.2.a.i#51.3.2.a.ii
clunk 43.2.a#43.2.b#43.2.c#43.2.d
cluster 22.3.a.i#22.3.a.ii#22.3.d.ii#47.5.2
clutch 15.1.a#15.1.b
clutter 9.8.a#9.8.b#9.8.e
co-exist 47.1
coach 29.8.a#29.8.b#51.4.1.a#51.4.1.b
coagulate 45.4.a#45.4.b#45.4.c
coalesce 22.2.a#22.2.c
coarsen 45.4.a#45.4.b#45.4.c
coast 51.3.2.a.i#51.3.2.a.ii
coat 9.8.a#9.8.b#9.8.d
cock 40.3.2
coddle 45.3.a#45.3.b#45.3.c
coerce 002
coexist 36.1.a#36.1.b#47.1
cohabit 47.1
cohere 22.5.a
coil 9.6#26.5.a.ii#26.5.b
coin 26.4
coincide 22.2.a#22.2.c
coke 45.4.a
coldcream 41.2.2
collaborate 36.1.c#36.1.d
collapse 45.4.a#45.4.b#45.4.c
collate 22.3.a.ii#22.3.d.ii
collect 13.5.2.a#22.3.b.ii#22.3.d.ii#26.5.a.ii#26.5.b#45.4.a#45.4.b#45.4.c#47.5.2
collide 36.1.c#36.1.d
collude 36.1.c#36.1.d
colonize 45.4.a
color 24
comb 10.4.2.a#10.4.2.b#35.2.a#35.2.a#35.2.b#41.2.2
combat 36.1.c#36.1.d
combine 22.1.a#22.1.b
come 48.1.1.a#51.1.a
come! 51.1.a
comfort 31.1.a#31.1.b#31.1.c
command 002
commemorate 25.1.b
commence 55.1.a#55.1.b#55.1.c
commend 33.a.i
comment 37.7.a
commercialize 45.4.a
commingle 22.1.a#22.1.b
commiserate 36.1.c#36.1.d
commission 002#29.1.a
commit 13.4.1.a
communicate 36.1.c#36.1.d
compare 22.2.a#22.2.c
compel 002
compensate 13.4.2#33.a.ii
compete 36.1.c#36.1.d
compile 26.1.a#26.1.a#26.1.b
complain 37.8.b#37.8.b
complement 55.2.a#55.2.c
complete 55.2.a#55.2.b
complicate 45.4.a
compliment 33.a.i
comply 36.1.c#36.1.d
compose 26.4#26.7.i#26.7.ii#26.7.ii
compound 45.4.a
comprehend 30.2.a.ii
compress 26.5.a.ii#26.5.b#45.4.a#45.4.b#45.4.c
comprise 47.8.b
compromise 36.1.c#36.1.d
compute 26.4
con 10.6.a#10.6.c
concatenate 22.1.a#22.1.b
conceal 16
conceive 29.1.a
concede 13.3#13.3
concentrate 31.3.g#45.4.a
concern 31.1.a#31.1.b
conciliate 45.4.a
conclude 55.1.a#55.1.b
concoct 26.4
concur 36.1.c#36.1.d
condemn 33.b
condense 45.4.a#45.4.b#45.4.c
condescend 31.3.i
condition 41.2.2
condone 33.a.i
conduct 51.7.i#51.7.ii
confabulate 36.1.c#36.1.d
confederate 22.2.a#22.2.c
